name,brand_name,generic_name,purpose,indications,warnings,dosage,contraindications,adverse_reactions
Amoxicillin,Amoxil,Amoxicillin,Antibiotic,Treatment of bacterial infections,Serious allergic reaction warning,250 to 500 mg every 8 hours,Hypersensitivity to penicillins,Nausea vomiting diarrhea
Diovan,Diovan,Valsartan,Blood pressure management,Treatment of hypertension and heart failure,Fetal toxicity warning,80 to 160 mg once daily,Pregnancy and hypersensitivity,Dizziness fatigue abdominal pain

Sumatriptan,Imitrex,Sumatriptan,Migraine relief,Treatment of acute migraine attacks,Do not use with MAO inhibitors,50 mg at onset,Cardiovascular disease,Dizziness nausea fatigue
Gabapentin,Neurontin,Gabapentin,Neuropathic pain relief,Treatment of neuropathic pain and seizures,Drowsiness and dizziness,300 mg three times daily,History of substance abuse,Drowsiness dizziness swelling
Prednisone,Deltasone,Prednisone,Anti-inflammatory and immunosuppressant,Treatment of asthma exacerbations and autoimmune conditions,Increased infection risk and adrenal suppression,5 to 60 mg once daily,Active systemic infections,Fluid retention weight gain high blood pressure
Oseltamivir,Tamiflu,Oseltamivir,Antiviral,Treatment and prophylaxis of influenza,Neuropsychiatric events reported,75 mg twice daily for 5 days,Severe renal impairment,Nausea vomiting headache
Valsartan,Diovan,Valsartan,Blood pressure management,Treatment of hypertension and heart failure,Hyperkalemia risk,Fetal toxicity warning,80 mg once daily, dizziness fatigue cough
Ciprofloxacin,Cipro,Ciprofloxacin,Antibiotic,Treatment of bacterial infections,May cause tendon rupture,250-750 mg twice daily,History of myasthenia gravis,Nausea diarrhea tendon pain
Loratadine,Claritin,Loratadine,Antihistamine,Treatment of allergic rhinitis and urticaria,Minimal sedation risk,10 mg once daily,Severe kidney disease,Drowsiness dry mouth
Cetirizine,Zyrtec,Cetirizine,Antihistamine,Treatment of allergic symptoms,May cause drowsiness,10 mg once daily,Severe kidney disease,Drowsiness dry mouth fatigue
Furosemide,Lasix,Furosemide,Diuretic,Treatment of edema and hypertension,Electrolyte disturbance risk,20-80 mg once daily,Anuria,Frequent urination dizziness muscle cramps
Naproxen,Aleve,Naproxen,NSAID,Relief of pain and inflammation,GI bleeding risk,220-550 mg twice daily,Active peptic ulcer,Stomach pain heartburn headache
Clindamycin,Cleocin,Clindamycin,Antibiotic,Treatment of bacterial infections,Colitis warning,150-450 mg every 6 hours,Hypersensitivity to clindamycin,Diarrhea abdominal pain rash
Prednisolone,Prelone,Prednisolone,Anti-inflammatory and immunosuppressant,Treatment of asthma exacerbations and autoimmune disease,Increased infection risk,5-60 mg once daily,Active infection,Weight gain mood changes insomnia
Dextromethorphan,Robitussin,Dextromethorphan,Cough suppressant,Relief of cough due to throat irritation,Do not combine with MAOIs,10-20 mg every 4 hours,Use with CNS depressants,Drowsiness dizziness nausea
Losartan,Cozaar,Losartan,Antihypertensive,Treatment of hypertension and diabetic nephropathy,Hyperkalemia risk,50 mg once daily,Pregnancy,Dizziness fatigue cough
